,State,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size,Priority
737,Arizona,No,Basic,Bachelor,2011-02-05,Employed,M,83210,Suburban,Divorced,110,0,25,0,3,Personal Auto,Personal L3,Offer3,Branch,528.0,Sports Car,Large,High
738,Oregon,No,Extended,Bachelor,2011-02-18,Employed,F,38736,Suburban,Divorced,81,7,35,0,2,Personal Auto,Personal L3,Offer1,Call Center,561.414794,Two-Door Car,Small,High
739,California,No,Basic,College,2011-01-17,Unemployed,M,0,Suburban,Single,66,0,10,0,9,Personal Auto,Personal L3,Offer1,Call Center,316.8,Four-Door Car,Medsize,Low
740,Oregon,No,Basic,College,2011-02-13,Employed,M,55437,Suburban,Married,64,5,78,0,2,Personal Auto,Personal L3,Offer3,Agent,445.287788,Four-Door Car,Medsize,High
741,Washington,No,Extended,College,2011-02-03,Unemployed,F,0,Rural,Married,130,0,93,0,1,Personal Auto,Personal L3,Offer3,Branch,23.820158,SUV,Medsize,Medium
742,Oregon,No,Basic,Master,2011-01-01,Unemployed,M,0,Suburban,Married,71,33,83,0,3,Corporate Auto,Corporate L3,Offer1,Agent,407.99684,Four-Door Car,Medsize,Medium
743,California,No,Basic,High School or Below,2011-02-19,Employed,F,29066,Suburban,Married,100,13,51,0,3,Personal Auto,Personal L3,Offer2,Branch,844.229478,SUV,Medsize,Medium
744,Nevada,No,Basic,Bachelor,2011-02-25,Employed,M,54337,Suburban,Married,72,27,7,0,1,Personal Auto,Personal L2,Offer3,Web,345.6,Four-Door Car,Medsize,Low
745,Oregon,No,Extended,High School or Below,2011-02-19,Employed,F,67616,Urban,Married,96,25,17,0,2,Personal Auto,Personal L3,Offer3,Agent,340.306584,Four-Door Car,Medsize,High
746,California,No,Basic,Bachelor,2011-02-16,Employed,F,41082,Rural,Married,63,23,94,0,2,Personal Auto,Personal L2,Offer3,Web,106.647493,Two-Door Car,Medsize,High
747,Washington,No,Basic,High School or Below,2011-02-13,Unemployed,F,0,Suburban,Single,73,12,71,0,4,Personal Auto,Personal L1,Offer2,Branch,626.116259,Four-Door Car,Small,Medium
748,Nevada,Yes,Basic,Master,2011-01-03,Employed,F,36650,Rural,Married,69,2,70,0,1,Personal Auto,Personal L1,Offer2,Web,56.60333,Four-Door Car,Large,Low
749,Oregon,No,Basic,College,2011-02-19,Employed,F,50631,Suburban,Married,112,19,12,0,2,Special Auto,Special L1,Offer2,Agent,784.65781,SUV,Medsize,High
750,California,No,Extended,College,2011-01-22,Medical Leave,M,19592,Suburban,Divorced,92,31,63,0,2,Personal Auto,Personal L2,Offer4,Web,441.6,Four-Door Car,Medsize,High
751,Washington,No,Premium,High School or Below,2011-01-23,Unemployed,F,0,Suburban,Married,114,30,1,0,2,Personal Auto,Personal L2,Offer3,Branch,547.2,Two-Door Car,Medsize,High
752,Arizona,No,Basic,College,2011-02-12,Employed,F,55761,Rural,Divorced,115,22,73,0,2,Personal Auto,Personal L3,Offer1,Branch,86.27772,Sports Car,Medsize,High
753,California,Yes,Basic,College,2011-02-02,Medical Leave,F,17576,Suburban,Married,71,29,70,0,1,Special Auto,Special L2,Offer2,Call Center,398.502948,Four-Door Car,Medsize,Low
754,California,No,Extended,Bachelor,2011-02-24,Employed,F,41449,Rural,Married,89,15,45,0,5,Personal Auto,Personal L2,Offer4,Branch,63.516572,Four-Door Car,Medsize,Medium
755,California,Yes,Premium,Bachelor,2011-01-05,Retired,F,14290,Suburban,Married,271,20,40,0,1,Personal Auto,Personal L1,Offer1,Agent,960.0,Luxury SUV,Medsize,High
756,Nevada,No,Basic,College,2011-02-24,Employed,F,62007,Rural,Married,73,4,7,0,3,Personal Auto,Personal L3,Offer2,Agent,120.015609,Four-Door Car,Medsize,Medium
757,Arizona,No,Extended,High School or Below,2011-02-26,Medical Leave,M,21921,Suburban,Married,206,14,44,0,3,Corporate Auto,Corporate L2,Offer1,Branch,960.0,Luxury SUV,Large,High
758,Arizona,No,Basic,Bachelor,2011-01-17,Employed,F,42621,Suburban,Married,66,8,3,0,3,Personal Auto,Personal L1,Offer2,Call Center,316.8,Four-Door Car,Medsize,Medium
759,Oregon,No,Extended,College,2011-01-22,Unemployed,M,0,Suburban,Divorced,87,16,41,0,2,Personal Auto,Personal L3,Offer1,Agent,417.6,Four-Door Car,Large,High
760,Washington,No,Basic,High School or Below,2011-01-07,Employed,M,63786,Urban,Single,196,30,81,0,1,Corporate Auto,Corporate L3,Offer1,Branch,798.002689,Luxury SUV,Medsize,Medium
761,California,No,Basic,High School or Below,2011-01-18,Unemployed,F,0,Rural,Married,104,1,48,0,7,Personal Auto,Personal L3,Offer1,Branch,82.041684,Sports Car,Medsize,Medium
762,California,No,Extended,High School or Below,2011-01-07,Employed,F,82877,Rural,Married,99,8,89,0,3,Personal Auto,Personal L3,Offer1,Agent,22.819088,Two-Door Car,Medsize,Medium
763,Arizona,No,Basic,College,2011-02-07,Unemployed,M,0,Suburban,Single,63,0,75,0,1,Corporate Auto,Corporate L3,Offer2,Branch,302.4,Two-Door Car,Medsize,Low
764,Nevada,No,Extended,High School or Below,2011-01-07,Retired,M,10475,Suburban,Married,88,13,81,0,2,Personal Auto,Personal L2,Offer1,Branch,422.4,Two-Door Car,Small,High
765,Oregon,No,Basic,High School or Below,2011-01-18,Employed,F,21952,Suburban,Married,66,20,31,0,6,Personal Auto,Personal L1,Offer4,Branch,316.8,Four-Door Car,Small,Medium
766,Oregon,No,Extended,Bachelor,2011-01-07,Employed,F,49721,Suburban,Married,132,18,49,0,2,Corporate Auto,Corporate L3,Offer3,Call Center,639.971388,Sports Car,Large,High
767,California,Yes,Premium,College,2011-01-01,Employed,M,88340,Suburban,Married,102,16,1,0,2,Personal Auto,Personal L3,Offer1,Branch,489.6,Two-Door Car,Medsize,High
768,California,No,Basic,College,2011-02-13,Unemployed,F,0,Suburban,Married,65,7,28,0,1,Personal Auto,Personal L3,Offer2,Branch,312.0,Four-Door Car,Medsize,Low
769,Oregon,No,Basic,Bachelor,2011-02-10,Unemployed,M,0,Suburban,Single,65,14,62,0,2,Corporate Auto,Corporate L2,Offer3,Branch,468.0,Four-Door Car,Medsize,Medium
770,Washington,No,Extended,College,2011-01-10,Retired,F,24589,Suburban,Married,82,33,39,0,2,Personal Auto,Personal L3,Offer1,Branch,511.497882,Two-Door Car,Medsize,High
771,California,Yes,Premium,Bachelor,2011-01-28,Employed,F,69379,Suburban,Single,103,14,79,0,1,Personal Auto,Personal L3,Offer1,Branch,494.4,Two-Door Car,Medsize,Low
772,Nevada,No,Basic,Bachelor,2011-01-23,Employed,F,73769,Urban,Married,61,24,95,0,3,Personal Auto,Personal L3,Offer4,Web,239.540223,Four-Door Car,Medsize,Medium
773,California,No,Basic,College,2011-02-28,Employed,F,66670,Urban,Married,114,23,6,0,1,Personal Auto,Personal L3,Offer3,Agent,518.180364,SUV,Medsize,Low
774,Arizona,No,Premium,Bachelor,2011-01-06,Employed,M,88854,Suburban,Single,118,6,50,0,2,Personal Auto,Personal L2,Offer1,Branch,715.252366,Two-Door Car,Medsize,High
775,Oregon,No,Basic,Bachelor,2011-01-20,Employed,M,31266,Suburban,Married,193,6,79,0,1,Corporate Auto,Corporate L3,Offer4,Branch,926.4,Luxury Car,Large,Medium
776,California,Yes,Basic,High School or Below,2011-02-14,Employed,F,43860,Rural,Single,65,15,58,0,1,Personal Auto,Personal L2,Offer2,Agent,156.124914,Four-Door Car,Medsize,Low
777,California,No,Extended,Bachelor,2011-01-31,Employed,M,89284,Urban,Divorced,133,4,62,0,1,Corporate Auto,Corporate L3,Offer1,Web,402.070719,SUV,Medsize,Medium
778,Oregon,No,Extended,College,2011-01-13,Employed,M,67267,Rural,Single,89,31,10,0,2,Corporate Auto,Corporate L3,Offer3,Call Center,94.814032,Four-Door Car,Medsize,High
779,California,No,Extended,High School or Below,2011-01-13,Employed,F,79270,Suburban,Married,95,28,61,0,2,Personal Auto,Personal L1,Offer2,Branch,456.0,Four-Door Car,Medsize,High
780,Oregon,No,Premium,Bachelor,2011-01-16,Employed,M,36692,Suburban,Married,109,1,6,0,1,Personal Auto,Personal L3,Offer2,Call Center,523.2,Four-Door Car,Medsize,Low
781,Oregon,No,Basic,High School or Below,2011-02-16,Unemployed,F,0,Suburban,Divorced,119,0,37,0,1,Personal Auto,Personal L3,Offer2,Agent,571.2,SUV,Medsize,Low
782,California,Yes,Basic,College,2011-01-11,Unemployed,F,0,Suburban,Married,107,3,65,0,3,Corporate Auto,Corporate L3,Offer1,Agent,513.6,SUV,Medsize,Medium
783,Nevada,Yes,Premium,College,2011-02-28,Unemployed,M,0,Suburban,Married,105,3,92,0,1,Corporate Auto,Corporate L3,Offer1,Branch,504.0,Four-Door Car,Large,Low
784,Oregon,No,Extended,College,2011-01-24,Unemployed,M,0,Suburban,Single,135,8,14,0,1,Personal Auto,Personal L3,Offer1,Agent,960.0,SUV,Medsize,Low
785,California,No,Basic,High School or Below,2011-02-04,Employed,F,44624,Rural,Married,71,10,79,0,2,Special Auto,Special L3,Offer4,Web,73.883044,Four-Door Car,Medsize,High
786,Arizona,No,Basic,College,2011-01-14,Unemployed,F,0,Suburban,Single,71,1,23,0,2,Corporate Auto,Corporate L2,Offer4,Call Center,340.8,Four-Door Car,Medsize,High
787,Nevada,Yes,Extended,Master,2011-02-17,Retired,F,19614,Suburban,Married,85,21,32,0,2,Personal Auto,Personal L2,Offer2,Agent,574.024018,Two-Door Car,Medsize,High
788,Oregon,No,Basic,College,2011-01-23,Unemployed,F,0,Suburban,Single,64,31,53,0,1,Personal Auto,Personal L1,Offer3,Branch,632.715382,Four-Door Car,Medsize,Low
789,Arizona,Yes,Basic,College,2011-02-14,Employed,M,83846,Suburban,Married,74,22,94,0,2,Special Auto,Special L1,Offer2,Agent,355.2,Four-Door Car,Large,High
790,Washington,No,Basic,College,2011-02-20,Employed,M,51159,Rural,Married,72,4,61,0,1,Personal Auto,Personal L2,Offer2,Branch,4.238626,Four-Door Car,Medsize,Low
791,California,No,Basic,College,2011-01-21,Employed,M,83772,Rural,Divorced,62,13,76,0,1,Personal Auto,Personal L3,Offer3,Branch,42.248087,Two-Door Car,Large,Low
792,Arizona,Yes,Premium,College,2011-01-19,Employed,M,66839,Suburban,Single,154,33,24,0,1,Personal Auto,Personal L2,Offer2,Branch,739.2,Sports Car,Medsize,Medium
793,Arizona,No,Basic,College,2011-02-24,Employed,F,88440,Rural,Single,70,19,30,0,2,Personal Auto,Personal L3,Offer4,Branch,27.145151,Two-Door Car,Medsize,High
794,Arizona,No,Basic,Master,2011-02-14,Employed,F,25666,Urban,Married,63,7,30,0,2,Personal Auto,Personal L3,Offer4,Call Center,270.002766,Four-Door Car,Medsize,Medium
795,Oregon,No,Basic,High School or Below,2011-01-27,Employed,F,52926,Suburban,Married,61,2,92,0,1,Personal Auto,Personal L3,Offer1,Call Center,292.8,Four-Door Car,Medsize,Low
796,Nevada,No,Basic,Bachelor,2011-02-06,Unemployed,F,0,Suburban,Single,67,16,90,0,1,Personal Auto,Personal L3,Offer3,Agent,494.946438,Four-Door Car,Medsize,Low
797,Washington,No,Basic,Bachelor,2011-02-22,Employed,F,40001,Rural,Divorced,70,26,7,0,2,Personal Auto,Personal L3,Offer1,Branch,142.567008,Four-Door Car,Medsize,High
798,California,Yes,Basic,College,2011-01-31,Unemployed,M,0,Suburban,Single,70,24,10,0,1,Personal Auto,Personal L3,Offer1,Branch,425.266308,Four-Door Car,Medsize,Low
799,Oregon,No,Basic,College,2011-01-13,Disabled,M,18024,Suburban,Single,65,13,1,0,3,Personal Auto,Personal L3,Offer1,Agent,312.0,Two-Door Car,Medsize,Low
800,Oregon,Yes,Basic,College,2011-01-27,Unemployed,F,0,Suburban,Single,68,19,2,0,2,Personal Auto,Personal L3,Offer1,Agent,326.4,Four-Door Car,Large,High
801,Oregon,No,Basic,Bachelor,2011-01-28,Medical Leave,F,23220,Urban,Married,74,3,73,0,1,Personal Auto,Personal L3,Offer1,Agent,251.334247,Four-Door Car,Medsize,Low
802,California,Yes,Basic,High School or Below,2011-01-02,Employed,F,64125,Urban,Married,108,3,44,0,3,Personal Auto,Personal L3,Offer2,Branch,369.818708,SUV,Large,High
803,Oregon,No,Basic,College,2011-01-07,Employed,F,58042,Urban,Married,62,14,88,0,2,Corporate Auto,Corporate L3,Offer3,Agent,161.419528,Four-Door Car,Medsize,Medium
804,Oregon,No,Basic,High School or Below,2011-01-11,Employed,F,90034,Suburban,Married,112,5,86,0,1,Corporate Auto,Corporate L3,Offer1,Call Center,537.6,SUV,Medsize,Low
805,Nevada,Yes,Basic,High School or Below,2011-01-05,Retired,M,27972,Suburban,Married,61,7,38,0,1,Special Auto,Special L1,Offer3,Web,292.8,Four-Door Car,Medsize,Low
806,California,No,Basic,High School or Below,2011-02-17,Unemployed,F,0,Suburban,Single,65,6,45,0,2,Personal Auto,Personal L3,Offer2,Branch,312.0,Four-Door Car,Medsize,Medium
807,Arizona,No,Extended,Bachelor,2011-02-21,Employed,M,50989,Urban,Married,80,3,11,0,1,Corporate Auto,Corporate L3,Offer2,Agent,255.999709,Four-Door Car,Medsize,Low
808,Arizona,Yes,Premium,Bachelor,2011-02-16,Disabled,F,11885,Suburban,Divorced,101,18,39,0,2,Special Auto,Special L1,Offer1,Agent,484.8,Four-Door Car,Medsize,High
809,California,Yes,Basic,Bachelor,2011-01-21,Employed,F,89451,Rural,Single,63,11,2,0,1,Special Auto,Special L2,Offer2,Web,61.769564,Four-Door Car,Medsize,Low
810,Oregon,No,Basic,Bachelor,2011-02-28,Unemployed,M,0,Suburban,Single,182,3,56,0,2,Personal Auto,Personal L2,Offer1,Web,960.0,Luxury Car,Medsize,High
811,Washington,No,Basic,Bachelor,2011-02-12,Employed,M,78904,Rural,Divorced,109,10,38,0,9,Personal Auto,Personal L3,Offer4,Branch,250.001424,SUV,Large,High
812,Arizona,No,Extended,Doctor,2011-02-19,Employed,M,70247,Rural,Single,83,13,19,0,1,Personal Auto,Personal L2,Offer4,Call Center,141.799422,Four-Door Car,Medsize,Low
813,Arizona,No,Basic,High School or Below,2011-02-13,Employed,M,32653,Suburban,Married,67,4,25,0,9,Personal Auto,Personal L1,Offer1,Agent,321.6,Two-Door Car,Large,Medium
814,Washington,No,Extended,High School or Below,2011-02-21,Employed,M,93595,Rural,Married,97,15,30,0,1,Special Auto,Special L2,Offer4,Agent,49.797016,Four-Door Car,Medsize,Low
815,California,No,Basic,Master,2011-01-02,Employed,M,90279,Urban,Divorced,115,7,64,0,2,Personal Auto,Personal L1,Offer3,Call Center,372.175592,SUV,Medsize,High
816,Oregon,No,Basic,College,2011-02-02,Unemployed,F,0,Suburban,Single,72,3,56,0,3,Personal Auto,Personal L3,Offer1,Agent,542.14385,Four-Door Car,Small,Medium
817,California,No,Basic,Bachelor,2011-01-22,Employed,M,53310,Suburban,Divorced,189,26,33,0,1,Personal Auto,Personal L3,Offer2,Branch,960.0,Luxury Car,Medsize,Medium
818,California,No,Premium,College,2011-02-02,Unemployed,M,0,Suburban,Divorced,105,5,42,0,5,Personal Auto,Personal L3,Offer1,Agent,504.0,Four-Door Car,Medsize,Medium
819,Oregon,No,Premium,Bachelor,2011-02-22,Employed,F,22234,Suburban,Divorced,160,0,92,0,3,Personal Auto,Personal L3,Offer1,Agent,768.0,SUV,Medsize,High
820,Washington,No,Extended,High School or Below,2011-01-30,Employed,F,91375,Rural,Married,99,22,89,0,2,Personal Auto,Personal L1,Offer4,Call Center,72.632934,Two-Door Car,Medsize,High
821,Nevada,No,Extended,High School or Below,2011-01-29,Employed,F,22250,Suburban,Married,86,10,36,0,3,Personal Auto,Personal L3,Offer3,Web,720.601429,Two-Door Car,Medsize,Medium
822,Oregon,No,Extended,Bachelor,2011-01-27,Unemployed,M,0,Suburban,Single,80,9,69,0,7,Personal Auto,Personal L3,Offer3,Agent,576.0,Four-Door Car,Medsize,Medium
823,Oregon,Yes,Extended,Doctor,2011-01-13,Unemployed,F,0,Suburban,Married,84,18,25,0,4,Personal Auto,Personal L1,Offer1,Agent,481.025786,Four-Door Car,Medsize,Medium
824,California,No,Basic,High School or Below,2011-02-24,Employed,F,51179,Suburban,Married,71,10,25,0,2,Corporate Auto,Corporate L2,Offer1,Call Center,466.176731,Four-Door Car,Small,High
825,California,No,Basic,Bachelor,2011-01-26,Employed,M,38667,Rural,Single,72,8,67,0,1,Personal Auto,Personal L3,Offer1,Agent,159.266473,Four-Door Car,Medsize,Low
826,California,Yes,Basic,Master,2011-01-16,Employed,F,79487,Suburban,Divorced,114,20,87,0,1,Corporate Auto,Corporate L2,Offer2,Branch,547.2,SUV,Medsize,Low
827,Nevada,No,Premium,Doctor,2011-01-27,Employed,F,67763,Rural,Married,107,28,10,0,9,Personal Auto,Personal L3,Offer1,Web,41.283167,Four-Door Car,Medsize,High
828,Nevada,No,Basic,High School or Below,2011-01-25,Unemployed,M,0,Suburban,Single,62,8,81,0,6,Corporate Auto,Corporate L3,Offer1,Call Center,503.808329,Four-Door Car,Medsize,Low
829,Oregon,No,Basic,College,2011-02-06,Unemployed,F,0,Suburban,Single,71,5,20,0,5,Corporate Auto,Corporate L2,Offer1,Call Center,859.599411,Four-Door Car,Small,Medium
830,California,No,Basic,Master,2011-01-17,Employed,F,71943,Urban,Single,112,8,51,0,4,Corporate Auto,Corporate L2,Offer3,Agent,305.653785,SUV,Medsize,High
831,Oregon,No,Basic,College,2011-02-06,Employed,F,53526,Urban,Married,68,27,69,0,4,Personal Auto,Personal L3,Offer1,Agent,278.902846,Four-Door Car,Medsize,Medium
832,Oregon,No,Premium,College,2011-02-17,Employed,M,35005,Suburban,Married,295,14,46,0,2,Personal Auto,Personal L3,Offer2,Web,960.0,Luxury Car,Small,High
833,California,No,Basic,College,2011-01-28,Employed,M,24721,Rural,Married,67,3,76,0,1,Personal Auto,Personal L2,Offer2,Branch,139.963594,Four-Door Car,Medsize,Low
834,Washington,No,Premium,College,2011-02-02,Unemployed,M,0,Suburban,Single,102,29,72,0,2,Personal Auto,Personal L3,Offer1,Branch,734.4,Four-Door Car,Medsize,High
835,Arizona,Yes,Basic,Master,2011-01-31,Employed,M,88997,Rural,Divorced,72,9,71,0,3,Personal Auto,Personal L3,Offer2,Branch,174.041566,Four-Door Car,Small,Medium
836,Arizona,No,Basic,Master,2011-02-07,Employed,M,48587,Suburban,Married,111,7,14,0,2,Personal Auto,Personal L2,Offer1,Branch,532.8,SUV,Medsize,High
837,Arizona,No,Basic,High School or Below,2011-01-05,Employed,F,76310,Suburban,Married,67,1,33,0,1,Personal Auto,Personal L3,Offer4,Branch,321.6,Two-Door Car,Medsize,Low
838,California,No,Extended,Bachelor,2011-02-11,Employed,M,73205,Rural,Married,92,9,18,0,1,Personal Auto,Personal L2,Offer3,Branch,37.299865,Four-Door Car,Medsize,Low
839,Oregon,No,Extended,College,2011-02-17,Employed,F,51056,Rural,Married,78,27,86,0,2,Personal Auto,Personal L1,Offer3,Branch,95.816516,Four-Door Car,Large,High
840,California,Yes,Extended,College,2011-01-14,Employed,M,58414,Suburban,Single,210,7,24,0,1,Personal Auto,Personal L3,Offer2,Agent,960.0,Luxury SUV,Small,Medium
841,California,No,Basic,Bachelor,2011-01-17,Medical Leave,F,23940,Suburban,Married,107,13,34,0,7,Personal Auto,Personal L3,Offer1,Call Center,513.6,SUV,Small,High
842,California,No,Basic,High School or Below,2011-02-24,Unemployed,F,0,Suburban,Single,62,26,18,0,1,Personal Auto,Personal L3,Offer4,Call Center,446.4,Four-Door Car,Medsize,Low
843,California,No,Basic,Bachelor,2011-02-03,Employed,M,44216,Rural,Married,71,24,36,0,2,Personal Auto,Personal L2,Offer1,Agent,72.205362,Four-Door Car,Large,High
844,California,Yes,Basic,High School or Below,2011-01-05,Retired,M,27972,Suburban,Married,61,7,38,0,1,Corporate Auto,Corporate L3,Offer3,Web,292.8,Four-Door Car,Medsize,Low
845,Arizona,No,Basic,High School or Below,2011-01-17,Unemployed,F,0,Suburban,Married,69,27,48,0,9,Personal Auto,Personal L2,Offer2,Call Center,331.2,Four-Door Car,Small,Medium
846,California,No,Basic,Master,2011-02-08,Employed,F,29305,Suburban,Married,66,1,38,0,1,Personal Auto,Personal L2,Offer3,Web,475.2,Four-Door Car,Small,Low
847,California,No,Basic,College,2011-02-10,Employed,F,53882,Suburban,Married,69,14,33,0,1,Personal Auto,Personal L3,Offer1,Agent,331.2,Four-Door Car,Medsize,Low
848,Oregon,No,Basic,College,2011-01-15,Employed,M,91757,Suburban,Married,69,29,58,0,1,Personal Auto,Personal L3,Offer2,Web,331.2,Four-Door Car,Medsize,Low
849,California,No,Basic,Bachelor,2011-01-09,Employed,F,33906,Suburban,Married,64,25,49,0,2,Personal Auto,Personal L2,Offer1,Branch,401.592109,Two-Door Car,Small,Medium
850,Oregon,No,Extended,Bachelor,2011-01-12,Employed,M,68158,Rural,Married,139,28,87,0,4,Personal Auto,Personal L2,Offer1,Call Center,253.183568,SUV,Medsize,High
851,California,No,Extended,College,2011-01-20,Unemployed,M,0,Suburban,Single,134,24,86,0,5,Personal Auto,Personal L1,Offer1,Agent,643.2,SUV,Medsize,High
852,Oregon,No,Extended,College,2011-01-08,Employed,M,42165,Suburban,Single,123,22,66,0,1,Corporate Auto,Corporate L3,Offer1,Branch,799.673766,SUV,Large,Medium
853,Washington,No,Basic,College,2011-02-02,Unemployed,M,0,Suburban,Single,101,24,11,0,1,Personal Auto,Personal L3,Offer4,Web,727.2,SUV,Medsize,Low
854,California,Yes,Extended,Doctor,2011-02-18,Employed,M,30817,Rural,Divorced,88,25,43,0,1,Personal Auto,Personal L3,Offer2,Branch,91.834668,Four-Door Car,Medsize,Low
855,California,No,Basic,Bachelor,2011-01-23,Employed,M,68074,Rural,Married,65,12,62,0,1,Personal Auto,Personal L1,Offer4,Branch,27.987867,Four-Door Car,Medsize,Low
856,Washington,No,Extended,High School or Below,2011-02-12,Unemployed,M,0,Suburban,Married,131,20,59,0,2,Personal Auto,Personal L3,Offer3,Agent,842.391832,SUV,Medsize,High
857,California,No,Extended,Master,2011-02-19,Employed,F,71135,Urban,Married,92,11,64,0,3,Personal Auto,Personal L3,Offer1,Branch,270.563995,Four-Door Car,Medsize,Medium
858,California,No,Basic,College,2011-01-12,Unemployed,F,0,Suburban,Single,61,30,35,0,3,Personal Auto,Personal L3,Offer3,Agent,292.8,Two-Door Car,Medsize,Low
859,Oregon,Yes,Basic,Master,2011-01-26,Employed,M,37722,Rural,Single,116,8,23,0,8,Personal Auto,Personal L1,Offer1,Agent,158.077504,Sports Car,Medsize,High
860,Arizona,Yes,Extended,Bachelor,2011-02-27,Unemployed,F,0,Suburban,Divorced,139,5,56,0,2,Personal Auto,Personal L3,Offer1,Call Center,667.2,SUV,Medsize,High
861,Washington,No,Basic,College,2011-01-04,Employed,F,44705,Rural,Divorced,71,21,63,0,6,Personal Auto,Personal L2,Offer1,Branch,148.173152,Two-Door Car,Medsize,Medium
862,California,No,Extended,College,2011-02-14,Employed,F,64642,Urban,Married,96,3,79,0,2,Personal Auto,Personal L2,Offer3,Branch,404.265696,Four-Door Car,Large,High
863,Oregon,Yes,Basic,College,2011-01-11,Employed,F,50071,Rural,Single,71,3,32,0,1,Personal Auto,Personal L2,Offer2,Agent,18.918935,Two-Door Car,Medsize,Low
864,Oregon,No,Basic,High School or Below,2011-01-24,Employed,M,46754,Suburban,Married,106,5,70,0,9,Personal Auto,Personal L3,Offer3,Web,513.818403,SUV,Medsize,High
865,California,Yes,Basic,College,2011-02-03,Employed,M,64801,Urban,Married,64,23,19,0,2,Corporate Auto,Corporate L3,Offer2,Web,268.471802,Four-Door Car,Medsize,Medium
866,Arizona,No,Extended,Bachelor,2011-01-18,Employed,M,70410,Rural,Married,83,25,13,0,1,Personal Auto,Personal L3,Offer2,Web,131.828507,Four-Door Car,Medsize,Low
867,Nevada,No,Extended,High School or Below,2011-01-18,Employed,F,66957,Suburban,Married,131,31,4,0,1,Personal Auto,Personal L1,Offer2,Web,628.8,SUV,Medsize,Medium
868,Nevada,No,Extended,High School or Below,2011-02-04,Employed,F,24213,Suburban,Single,78,11,28,0,2,Personal Auto,Personal L3,Offer2,Agent,374.4,Four-Door Car,Medsize,High
869,Washington,Yes,Basic,Bachelor,2011-02-19,Unemployed,M,0,Suburban,Married,101,1,83,0,1,Special Auto,Special L3,Offer1,Agent,960.0,SUV,Large,Low
870,Oregon,Yes,Basic,Master,2011-01-19,Employed,M,79751,Suburban,Married,63,15,67,0,1,Personal Auto,Personal L3,Offer3,Web,392.235698,Two-Door Car,Small,Low
871,Arizona,No,Basic,High School or Below,2011-01-16,Employed,M,86122,Suburban,Married,182,33,54,0,1,Personal Auto,Personal L2,Offer2,Agent,873.6,Luxury SUV,Small,Medium
872,Arizona,No,Basic,Bachelor,2011-02-17,Employed,M,82297,Rural,Single,116,5,62,0,1,Personal Auto,Personal L3,Offer1,Call Center,0.382107,Sports Car,Medsize,Low
873,Washington,No,Basic,Doctor,2011-01-30,Employed,F,82210,Rural,Married,68,33,46,0,1,Personal Auto,Personal L2,Offer3,Call Center,51.961915,Four-Door Car,Medsize,Low
874,California,No,Basic,High School or Below,2011-02-04,Employed,M,43259,Suburban,Married,73,12,18,0,2,Personal Auto,Personal L2,Offer1,Branch,350.4,Four-Door Car,Medsize,High
875,Oregon,No,Extended,College,2011-01-27,Unemployed,M,0,Suburban,Married,79,7,72,0,2,Personal Auto,Personal L3,Offer2,Web,379.2,Four-Door Car,Medsize,High
876,California,No,Basic,College,2011-01-20,Disabled,M,25064,Suburban,Married,62,17,34,0,1,Personal Auto,Personal L3,Offer1,Call Center,297.6,Four-Door Car,Medsize,Low
877,Arizona,No,Basic,Master,2011-02-07,Employed,M,25816,Suburban,Single,119,18,63,0,1,Personal Auto,Personal L1,Offer3,Agent,571.2,Sports Car,Medsize,Low
878,California,No,Basic,Bachelor,2011-01-10,Unemployed,M,0,Suburban,Married,73,14,74,0,8,Personal Auto,Personal L3,Offer1,Call Center,350.853987,Four-Door Car,Large,Medium
879,Oregon,No,Basic,College,2011-02-21,Employed,F,41662,Urban,Divorced,69,27,73,0,6,Corporate Auto,Corporate L3,Offer1,Agent,217.973168,Four-Door Car,Medsize,Medium
880,Arizona,No,Extended,Bachelor,2011-02-03,Employed,M,96170,Suburban,Married,92,8,86,0,1,Personal Auto,Personal L1,Offer2,Call Center,441.6,Four-Door Car,Large,Low
881,Arizona,No,Basic,High School or Below,2011-01-01,Employed,F,46072,Rural,Single,64,0,61,0,4,Personal Auto,Personal L3,Offer1,Branch,25.934064,Four-Door Car,Medsize,Medium
882,Arizona,No,Extended,High School or Below,2011-02-23,Employed,F,37931,Suburban,Married,99,8,31,0,2,Personal Auto,Personal L3,Offer2,Branch,475.2,Four-Door Car,Small,High
883,Oregon,No,Basic,High School or Below,2011-01-19,Employed,M,35127,Suburban,Married,62,9,21,0,5,Personal Auto,Personal L2,Offer2,Agent,297.6,Four-Door Car,Small,Medium
884,Washington,No,Basic,Doctor,2011-01-20,Employed,F,72450,Rural,Married,66,21,58,0,1,Corporate Auto,Corporate L3,Offer4,Branch,84.218363,Four-Door Car,Medsize,Low
885,Nevada,No,Extended,College,2011-02-11,Employed,F,93087,Suburban,Married,131,14,25,0,1,Corporate Auto,Corporate L3,Offer1,Agent,628.8,Sports Car,Medsize,Medium
886,Arizona,No,Basic,High School or Below,2011-01-03,Employed,M,22398,Suburban,Married,67,23,76,0,1,Personal Auto,Personal L1,Offer1,Agent,321.6,Four-Door Car,Large,Low
